timestamp;;iv_9500;m_9500;Vt_9500;iv_9750;m_9750;Vt_9750;iv_10000;m_10000;Vt_10000;iv_10250;m_10250;Vt_10250;iv_10500;m_10500;Vt_10500;St;diff;poly_coeffs;a;b;c
0;0;0.0190568946698306;-0.0501845660170715;1003.5;0.0166606011421258;-0.0371968228154412;754.5;0.0125825870713012;-0.0245379188232963;505.5;0.0120760822803081;-0.0121916125281105;273.5;0.0116953533143718;-0.0001428367385803;99.5;10503.0;10.466367713004484;[3.2883005  0.01052104 0.01161576];3.2883005003957875;0.0105210430219072;0.0116157594279698
1;1;0.0191693955589142;-0.0505176931411822;1010.5;0.0167873973494268;-0.0375299499395519;761.5;0.0146377495989916;-0.024871045947407;515.5;0.0120867637962196;-0.0125247396522212;279.5;0.011622895981615;-0.000475963862691;102.5;10510.0;10.400791687283522;[ 1.38362152 -0.0879425   0.01133549];1.383621518218508;-0.0879424974916054;0.0113354859047918
2;2;0.0192175660145281;-0.0506603939935993;1013.5;0.0168423010932191;-0.0376726507919689;764.5;0.0135301640479084;-0.025013746799824;516.5;0.01217791100604;-0.0126674405046383;282.5;0.0116742390886458;-0.000618664715108;104.5;10513.0;10.372964972866304;[ 2.41894352 -0.03431118  0.0115107 ];2.418943517072385;-0.0343111757426874;0.0115106964771153
3;3;0.019289772143244;-0.0508743689380218;1018.0;0.0160596144057215;-0.0378866257363915;768.5;0.013951008772418;-0.0252277217442466;521.5;0.0119967259343856;-0.0128814154490608;285.5;0.0116285097139489;-0.0008326396595306;106.5;10517.5;10.331532416502949;[ 2.52041895 -0.0251237   0.01151041];2.5204189522394933;-0.0251236995472645;0.0115104119527641
4;4;0.0191613645749304;-0.0504939057057012;1010.0;0.0159191134814089;-0.0375061625040709;760.5;0.0131043089111952;-0.0248472585119259;512.5;0.0121743086630035;-0.0125009522167402;279.5;0.0116539751413278;-0.0004521764272099;102.5;10509.5;10.405445544554455;[3.1931975  0.01211109 0.01168643];3.1931975043958434;0.0121110897100438;0.0116864305133936
5;5;0.0191051270525977;-0.0503273619626373;1006.5;0.0158575629491104;-0.037339618761007;757.0;0.0140031753124894;-0.024680714768862;510.5;0.0121685566349629;-0.0123344084736762;276.5;0.0116313483310581;-0.000285632684146;100.5;10506.0;10.438152011922504;[ 2.33441836 -0.03127309  0.01158257];2.3344183574705077;-0.0312730863183331;0.0115825691613492
6;6;0.0206005187452774;-0.0502083681735514;1004.5;0.0158135677960897;-0.0372206249719211;754.5;0.0129796926295761;-0.0245617209797761;506.5;0.0119904644449779;-0.0122154146845904;273.5;0.0116649420137304;-0.0001666388950601;99.5;10503.5;10.45644599303136;[4.75604508 0.06526312 0.01180176];4.756045084986436;0.0652631176920215;0.0118017569512409
7;7;0.0190568946698306;-0.0501845660170715;1003.5;0.0145679746921254;-0.0371968228154412;753.5;0.0139375383566438;-0.0245379188232963;507.5;0.0120760822803081;-0.0121916125281105;273.5;0.0115759927656858;-0.0001428367385803;98.5;10503.0;10.466367713004484;[2.97303984 0.00953916 0.01171332];2.973039837389776;0.0095391639150271;0.0117133245704621
8;8;;-0.049922667484858;997.5;;-0.0369349242832277;747.5;0.0128548160580718;-0.0242760202910827;500.5;0.0120053466260958;-0.011929713995897;268.5;0.0116688172429711;0.0001190617936331;96.5;10497.5;10.523809523809524;[ 1.67545822 -0.00814233  0.01166976];1.6754582224248349;-0.0081423328789273;0.0116697629329169
9;9;;-0.0498273976327144;995.5;0.0156726116694421;-0.0368396544310841;746.5;0.012813132145894;-0.0241807504389391;498.5;0.0119430202583394;-0.0118344441437534;266.5;0.0116686641201725;0.0002143316457768;95.5;10495.5;10.542943244600703;[4.14843841 0.04738518 0.01172565];4.1484384143282265;0.0473851772565558;0.0117256481214989
10;10;0.018992543372197;-0.0499941079631545;999.5;0.0165871737181173;-0.0370063647615242;750.5;0.0138499111500989;-0.0243474607693792;503.5;0.0119524279829514;-0.0120011544741935;269.5;0.0115789246823878;4.762131533675776e-05;96.5;10499.0;10.504252126063031;[ 2.05586688 -0.05329002  0.0113843 ];2.0558668791740797;-0.0532900199088182;0.0113843030475961
11;11;0.0190247249506094;-0.0500893460586806;1001.5;0.0145349522301946;-0.0371016028570502;751.5;0.0132761790323171;-0.0244426988649053;504.5;0.0120143062615902;-0.0120963925697195;271.5;0.0115778219327369;-4.761678018930771e-05;97.5;10501.0;10.485272091862209;[3.59073062 0.04013976 0.01175481];3.590730616728081;0.0401397561777325;0.0117548056580282
12;12;0.0206176140092956;-0.0502559690875249;1005.5;0.0158311689117691;-0.0372682258858946;755.5;0.0130004800010412;-0.0246093218937497;507.5;0.0120211672371005;-0.0122630155985639;274.5;0.0116039841513753;-0.0002142398090336;99.5;10504.5;10.447041272998508;[4.67530119 0.06051278 0.01175567];4.675301194854455;0.0605127778368939;0.0117556719421769
13;13;0.0191693955589142;-0.0505176931411822;1010.5;0.014683440299752;-0.0375299499395519;760.5;0.0140905808340999;-0.024871045947407;514.5;0.0120867637962196;-0.0125247396522212;279.5;0.011622895981615;-0.000475963862691;102.5;10510.0;10.400791687283522;[2.91749293 0.00681122 0.01173858];2.9174929287960647;0.0068112168054748;0.0117385827122892
14;14;;-0.0505176931411822;1010.0;0.014683440299752;-0.0375299499395519;760.5;0.0137899538059861;-0.024871045947407;514.0;0.0120867637962196;-0.0125247396522212;279.5;0.011622895981615;-0.000475963862691;102.5;10510.0;10.405940594059404;[ 0.59095061 -0.06570776  0.01148446];0.5909506111091893;-0.0657077640809098;0.0114844612770905
15;15;;-0.0502559690875249;1004.5;0.0158311689117691;-0.0372682258858946;755.5;0.0130004800010412;-0.0246093218937497;507.5;0.0120211672371005;-0.0122630155985639;274.5;0.0116039841513753;-0.0002142398090336;99.5;10504.5;10.45744151319064;[3.85966449 0.03382803 0.01167331];3.859664492545869;0.0338280254652017;0.0116733060365386
16;16;0.0190810141876389;-0.0502559690875249;1005.0;0.0158311689117691;-0.0372682258858946;755.5;0.0130004800010412;-0.0246093218937497;507.5;0.0120211672371005;-0.0122630155985639;274.5;0.0116039841513753;-0.0002142398090336;99.5;10504.5;10.452238805970149;[3.27676834 0.01475772 0.01161444];3.276768343159183;0.0147577220313674;0.0116144431027085
17;17;0.018992543372197;-0.0499941079631545;999.5;0.0145019153595856;-0.0370063647615242;749.5;0.0132337433618743;-0.0243474607693792;502.5;0.0119524279829514;-0.0120011544741935;269.5;0.0115789246823878;4.762131533675776e-05;96.5;10499.0;10.504252126063031;[3.64345435 0.04238079 0.01174089];3.643454353816881;0.0423807881224103;0.0117408942879847
18;18;;-0.049922667484858;997.5;0.0157078753001922;-0.0369349242832277;748.5;0.0135211730412967;-0.0242760202910827;501.5;0.0120053466260958;-0.011929713995897;268.5;0.0116688172429711;0.0001190617936331;96.5;10497.5;10.523809523809524;[ 2.91502868 -0.00324006  0.01163929];2.915028680213025;-0.003240060462475;0.0116392916230692
19;19;;-0.0497321096244218;993.5;0.0144109894081285;-0.0367443664227915;744.0;0.0127714188410043;-0.0240854624306466;496.5;0.0118805882672758;-0.0117391561354608;264.5;0.0115480766905571;0.0003096196540693;93.5;10493.5;10.562154001006542;[ 2.06722679e+00 -1.55963137e-03  1.15557540e-02];2.0672267930323764;-0.0015596313655693;0.0115557540326574
20;20;0.0188959272981734;-0.0497082847846393;993.5;0.0144027179739947;-0.036720541583009;743.5;0.0131062541850214;-0.0240616375908641;496.5;0.0119629619025451;-0.0117153312956783;264.5;0.0115775535948148;0.0003334444938518;93.5;10493.0;10.56165072974333;[3.71487111 0.04621099 0.01174559];3.7148711138860273;0.0462109911108275;0.0117455920258812
21;21;;-0.049493810125106;988.5;0.0155490590707888;-0.0365060669234757;739.5;0.0126670061906955;-0.0238471629313308;491.5;0.011918093869424;-0.011500856636145;260.5;0.0116017616483524;0.0005479191533851;91.5;10488.5;10.610520991401112;[4.12272947 0.04605205 0.01165857];4.122729465299022;0.0460520481682791;0.0116585725375617
22;22;;-0.0493507758912708;985.5;0.0154960458164914;-0.0363630326896405;736.5;0.0132613275498789;-0.0237041286974956;489.5;0.0120134406908641;-0.0113578224023098;258.5;0.0116556108531006;0.0006909533872203;90.5;10485.5;10.639776763064434;[2.97314256e+00 2.48951115e-03 1.16539247e-02];2.973142563664557;0.0024895111489246;0.0116539247171847
23;23;;-0.0496368034530587;991.5;0.0156020349829436;-0.0366490602514283;742.5;0.0127296760226753;-0.0239901562592834;494.5;0.0120128902800984;-0.0116438499640977;263.5;0.0116657205150795;0.0004049258254325;93.5;10491.5;10.581442259203229;[4.05788075 0.0454116  0.01173445];4.057880750965087;0.0454115977097612;0.0117344534233745
