variable;iv;timestamp;option;m
iv_9500;0.0190568946698306;0;m_9500;-0.0501845660170715
iv_9500;0.0191693955589142;1;m_9500;-0.0505176931411822
iv_9500;0.0192175660145281;2;m_9500;-0.0506603939935993
iv_9500;0.019289772143244;3;m_9500;-0.0508743689380218
iv_9500;0.0191613645749304;4;m_9500;-0.0504939057057012
iv_9500;0.0191051270525977;5;m_9500;-0.0503273619626373
iv_9500;0.0206005187452774;6;m_9500;-0.0502083681735514
iv_9500;0.0190568946698306;7;m_9500;-0.0501845660170715
iv_9500;;8;m_9500;-0.049922667484858
iv_9500;;9;m_9500;-0.0498273976327144
iv_9500;0.018992543372197;10;m_9500;-0.0499941079631545
iv_9500;0.0190247249506094;11;m_9500;-0.0500893460586806
iv_9500;0.0206176140092956;12;m_9500;-0.0502559690875249
iv_9500;0.0191693955589142;13;m_9500;-0.0505176931411822
iv_9500;;14;m_9500;-0.0505176931411822
iv_9500;;15;m_9500;-0.0502559690875249
iv_9500;0.0190810141876389;16;m_9500;-0.0502559690875249
iv_9500;0.018992543372197;17;m_9500;-0.0499941079631545
iv_9500;;18;m_9500;-0.049922667484858
iv_9500;;19;m_9500;-0.0497321096244218
iv_9500;0.0188959272981734;20;m_9500;-0.0497082847846393
iv_9500;;21;m_9500;-0.049493810125106
iv_9500;;22;m_9500;-0.0493507758912708
iv_9500;;23;m_9500;-0.0496368034530587
iv_9500;0.0187830727718024;24;m_9500;-0.0493746177719229
iv_9500;;25;m_9500;-0.0491122945359914
iv_9500;0.0186054326669189;26;m_9500;-0.0488498336008531
iv_9500;0.0184355256086555;27;m_9500;-0.0483483889207001
iv_9500;;28;m_9500;-0.0487304876162788
iv_9500;0.0185730952234239;29;m_9500;-0.0487543590922567
iv_9500;;30;m_9500;-0.0490168701356827
iv_9500;;31;m_9500;-0.0487782294285943
iv_9500;0.0186700712628918;32;m_9500;-0.0490407279431547
iv_9500;;33;m_9500;-0.049064584612291
iv_9500;0.0186862233652745;34;m_9500;-0.0490884401432004
iv_9500;0.0188314569481801;35;m_9500;-0.0495176451864858
iv_9500;0.0187508016600298;36;m_9500;-0.0492792434273324
iv_9500;0.0187346615987952;37;m_9500;-0.0492315494319702
iv_9500;;38;m_9500;-0.0492553969983306
iv_9500;0.0187185185308458;39;m_9500;-0.0491838508867396
iv_9500;0.020120489592581;40;m_9500;-0.0488736993797173
iv_9500;0.0185650089691187;41;m_9500;-0.0487304876162788
iv_9500;;42;m_9500;-0.0484439409729712
iv_9500;0.0184355256086555;43;m_9500;-0.0483483889207001
iv_9500;0.018338284994963;44;m_9500;-0.0480616231526712
iv_9500;0.0183301766350903;45;m_9500;-0.0480377185797218
iv_9500;;46;m_9500;-0.0477268550866025
iv_9500;0.0198104928793022;47;m_9500;-0.0480138128638606
iv_9500;0.018427426427316;48;m_9500;-0.0483244980541738
iv_9500;0.0184355256086555;49;m_9500;-0.0483483889207001
iv_9500;0.0184031243030102;50;m_9500;-0.0482528186045493
